year,name,mileage,transmission,price,city
2013,Toyota Fortuner,67500,Automatic,255000888,Jawa Timur
2014,Nissan Serena,67500,Automatic,175000888,Jawa Timur
2010,Hyundai H-1,61500,Automatic,130000000,Jawa Timur
2014,Nissan Serena,92500,Automatic,170000005,Jawa Timur
2010,Honda Freed,82500,Automatic,130000005,Jawa Timur
2012,Suzuki Swift,82500,Manual,107000005,Jawa Timur
2018,Honda HR-V,42500,Automatic,280000005,Jawa Timur
2017,Daihatsu Sirion,82500,Automatic,120000005,Jawa Timur
2019,Honda HR-V,42500,Automatic,285000005,Jawa Timur
2012,Honda Freed,82500,Automatic,140000005,Jawa Timur
2016,Toyota Avanza,62500,Manual,140000000,Jawa Timur
2016,Toyota Avanza,62500,Manual,140000000,Jawa Timur
2016,Suzuki APV,82500,Manual,120000005,Jawa Timur
2016,Toyota Avanza,62500,Manual,140000000,Jawa Timur
2016,Daihatsu Gran Max,82500,Manual,105000005,Jawa Timur
2019,Toyota Camry,22500,Automatic,575000005,Jawa Timur
2016,Toyota Avanza,62500,Manual,140000000,Jawa Timur
2016,Toyota Avanza,62500,Manual,140000000,Jawa Timur
2018,Mitsubishi Xpander,42500,Automatic,200000005,Jawa Timur
2017,Daihatsu Sirion,67500,Automatic,120000888,Jawa Timur
2016,Honda BR-V,122500,Automatic,170000000,DKI Jakarta
2013,Mazda Biante,92500,Automatic,160000005,Jawa Timur
2013,Chevrolet Aveo,67500,Automatic,90000888,Jawa Timur
2016,Toyota Kijang Innova,82500,Manual,210000005,Jawa Timur
2018,Toyota Kijang Innova,67500,Automatic,260000888,Jawa Timur
2015,Honda CR-V,82500,Manual,230000005,Jawa Timur
2018,Suzuki Ignis,62500,Manual,120000005,Jawa Timur
2018,Toyota Kijang Innova,62500,Automatic,250000005,Jawa Timur
2012,Honda Jazz,82500,Automatic,140000005,Jawa Timur
2011,Toyota Kijang Innova,202500,Manual,140000000,Jawa Timur
2018,Honda CR-V,22500,Automatic,420000005,Jawa Timur
2013,Toyota Camry,82500,Automatic,200000005,Jawa Timur
2016,Honda CR-V,82500,Automatic,255000005,Jawa Timur
2017,Toyota Avanza,82500,Manual,120000005,Jawa Timur
2014,Suzuki Ertiga,122500,Automatic,120000888,Jawa Timur
2012,Suzuki Swift,122500,Manual,105000888,Jawa Timur
2012,KIA Picanto,92500,Manual,80000005,Jawa Timur
2017,Honda Brio,87500,Automatic,135000000,DKI Jakarta
2012,KIA Picanto,87500,Manual,80000888,Jawa Timur
2018,Toyota Innova Venturer,62500,Automatic,385000005,Jawa Timur
2018,Mitsubishi Xpander,67500,Automatic,215000888,Jawa Timur
2017,Toyota Corolla Altis,52500,Automatic,292000000,DKI Jakarta
2016,Suzuki APV,25000,Manual,118000001,Jawa Timur
2016,Daihatsu Gran Max,67500,Manual,105000888,Jawa Timur
2013,Isuzu Panther,50000,Manual,175000001,Jawa Timur
2015,Honda CR-V,97500,Manual,250000888,Jawa Timur
2015,Toyota Kijang Innova,97500,Manual,225000888,Jawa Timur
2014,Suzuki Ertiga,50000,Automatic,118000001,Jawa Timur
2014,Toyota Avanza,37500,Manual,121000000,DKI Jakarta
2017,Daihatsu Sirion,20000,Automatic,115000001,Jawa Timur
2012,Honda Freed,122500,Automatic,145000888,Jawa Timur
2012,KIA Picanto,40000,Manual,77000001,Jawa Timur
2016,Suzuki APV,122500,Manual,115000888,Jawa Timur
2012,Honda Jazz,122500,Automatic,145000888,Jawa Timur
2010,Honda Freed,122500,Automatic,135000888,Jawa Timur
2018,Mitsubishi Xpander,20000,Automatic,198000001,Jawa Timur
2016,Daihatsu Gran Max,50000,Manual,102000001,Jawa Timur
2009,Nissan Serena,122500,Automatic,85000888,Jawa Timur
2016,Honda CR-V,102500,Automatic,255000888,Jawa Timur
2014,Nissan Serena,45000,Automatic,168000001,Jawa Timur
2013,Chevrolet Aveo,45000,Automatic,90000001,Jawa Timur
2017,Toyota Avanza,67500,Manual,120000888,Jawa Timur
2013,Honda CR-V,112500,Automatic,230000000,Jawa Timur
2013,Toyota Camry,122500,Automatic,205000888,Jawa Timur
2016,Honda CR-V,67500,Automatic,255000888,Jawa Timur
2011,Chevrolet Captiva,152500,Automatic,125000000,Jawa Timur
2001,Mitsubishi Kuda,252500,Manual,59500000,Jawa Timur
2015,Suzuki APV,34500,Manual,110000000,Jawa Timur
2019,Toyota Yaris,3500,Manual,209000000,DKI Jakarta
2016,Daihatsu Xenia,27500,Automatic,120000000,Banten
2017,Honda CR-V,13000,Automatic,390000000,Jawa Timur
2016,Toyota Etios Valco,10500,Manual,104000000,Jawa Timur
2009,Nissan Livina X-Gear,33000,Automatic,86000000,Jawa Timur
2017,Suzuki SX4 S-Cross,17500,Automatic,173000000,Jawa Timur
2018,Nissan March,2500,Manual,110000000,Jawa Timur
2020,Honda Civic,14000,Automatic,475000000,DKI Jakarta
2015,Toyota Vellfire,18500,Automatic,690000000,DKI Jakarta
2014,Mitsubishi Pajero Sport,63000,Automatic,292000000,DKI Jakarta
2013,Nissan Grand Livina,87500,Automatic,120500000,Jawa Timur
2017,Suzuki Ignis,27500,Automatic,133500000,Jawa Timur
2018,Honda Brio,27500,Manual,127000000,Banten
2019,Daihatsu Sigra,47500,Manual,105000000,Banten
2018,Daihatsu Ayla,8500,Automatic,101000000,Jawa Timur
2011,Toyota Avanza,16500,Manual,107000000,Jawa Timur
2020,Honda Brio,12500,Manual,139000000,Banten
2011,Toyota Avanza,107500,Manual,102000000,Jawa Timur
2017,Toyota Avanza,42500,Manual,140000000,Banten
2014,Honda Mobilio,38000,Manual,122000000,Jawa Timur
2019,Suzuki Ertiga,12000,Manual,193000000,Jawa Timur
2014,Volkswagen Tiguan,57500,Automatic,270000000,DKI Jakarta
2017,Toyota Sienta,47500,Manual,157000000,DKI Jakarta
2013,Toyota Kijang Innova,26500,Manual,122000000,Jawa Timur
2020,Suzuki Ertiga,4500,Manual,173000000,Jawa Timur
2020,Honda BR-V,17500,Automatic,212000000,Banten
2017,Suzuki Ignis,17000,Manual,118000000,Jawa Timur
2017,Honda HR-V,20500,Automatic,231000000,Jawa Timur
2017,Honda BR-V,27500,Automatic,173000000,DKI Jakarta
2019,Toyota Yaris,5000,Automatic,231500000,Jawa Timur
2017,Toyota Calya,41000,Automatic,104000000,Jawa Timur
2011,Suzuki Swift,27000,Automatic,103000000,Jawa Timur
2016,Honda Brio,62500,Automatic,130000000,Banten
2018,Mitsubishi Xpander,67500,Automatic,205000000,Banten
2018,Honda Brio,42500,Manual,115000000,Banten
2018,Mitsubishi Xpander,52500,Automatic,205000000,Banten
2001,Toyota Kijang,62500,Manual,128000000,Jawa Timur
1988,Toyota Kijang,202500,Manual,88000000,Jawa Timur
2018,Daihatsu Ayla,32500,Manual,102000000,DKI Jakarta
2018,Toyota Kijang Innova,62500,Automatic,365000000,Jawa Timur
2019,Toyota Kijang Innova,32500,Manual,319000000,Jawa Timur
2020,Toyota Kijang Innova,2500,Manual,328000000,Jawa Timur
2019,Toyota Avanza,22500,Manual,180000000,DKI Jakarta
2019,Toyota Kijang Innova,37500,Automatic,320000000,Jawa Timur
2014,Toyota Kijang Innova,12500,Manual,208000000,Jawa Timur
2018,Toyota Hiace,27500,Manual,368000000,Jawa Timur
2017,Honda CR-V,25500,Automatic,389000000,DKI Jakarta
2013,Mitsubishi Outlander Sport,42500,Automatic,155000000,DKI Jakarta
2013,Suzuki Ertiga,107500,Manual,102000000,Banten
2013,KIA Picanto,62500,Automatic,83000000,Banten
2016,Honda BR-V,102500,Manual,152000000,Banten
2018,Suzuki Ignis,42500,Automatic,115000000,Banten
2015,Toyota Hiace,132500,Manual,288000000,Jawa Timur
2014,Toyota Hiace,77500,Manual,278000000,Jawa Timur
2018,Toyota Hiace,67500,Manual,348000000,Jawa Timur
2007,Toyota Harrier,72500,Automatic,179000000,Jawa Timur
2015,Honda Mobilio,42500,Automatic,127000000,DKI Jakarta
2018,Toyota Fortuner,2500,Automatic,488000000,Jawa Timur
2020,Toyota Fortuner,32500,Automatic,508000000,Jawa Timur
2012,Toyota Fortuner,182500,Automatic,268000000,Jawa Timur
2012,Toyota Fortuner,82500,Automatic,249000000,Jawa Timur
2014,Toyota Fortuner,72500,Automatic,265000000,Jawa Timur
2018,Toyota Kijang Innova,32500,Automatic,260000777,Jawa Timur
2013,Toyota Fortuner,72500,Automatic,280000777,Jawa Timur
2019,Toyota Rush,32500,Automatic,234000000,DKI Jakarta
2019,Nissan Livina,12500,Automatic,224000000,DKI Jakarta
2017,Toyota Fortuner,67500,Manual,368000000,Jawa Timur
2013,Toyota Camry,87500,Automatic,218000000,Jawa Timur
2013,Toyota Camry,27500,Automatic,259000000,Jawa Timur
2018,Honda HR-V,37500,Automatic,236900000,Jawa Timur
2012,Toyota Camry,77500,Automatic,218000000,Jawa Timur
2006,Toyota Camry,102500,Automatic,138000000,Jawa Timur
2019,Toyota Calya,17500,Manual,125000000,Jawa Timur
2018,Honda HR-V,37500,Automatic,236900000,Jawa Timur
2012,Toyota Avanza,112500,Automatic,108000000,Jawa Timur
2013,Toyota Alphard,132500,Automatic,318000000,Jawa Timur
2018,Honda HR-V,37500,Automatic,236900000,Jawa Timur
2009,Toyota Alphard,112500,Automatic,268000000,Jawa Timur
2019,Toyota Alphard,17500,Automatic,1060000000,Jawa Timur
2018,Honda HR-V,37500,Automatic,236900000,Jawa Timur
2004,Suzuki Escudo,142500,Manual,75000000,Sumatera Utara
2014,Daihatsu Ayla,49000,Manual,77000000,Jawa Timur
2012,Toyota Camry,102500,Automatic,185000000,DKI Jakarta
2009,Mercedes-Benz E300,45000,Automatic,268000000,DKI Jakarta
2016,Nissan Grand Livina,34500,Automatic,123000000,Jawa Timur
2013,Honda Accord,52500,Automatic,259999000,Jawa Timur
2020,Honda CR-V,5000,Automatic,478000000,Jawa Timur
2018,Toyota Avanza,14500,Manual,159000000,Jawa Timur
2016,Daihatsu Gran Max,72500,Manual,94000000,Jawa Timur
2015,Mitsubishi Pajero Sport,102500,Automatic,258000000,Jawa Timur
2013,Nissan Grand Livina,82500,Automatic,123250000,Jawa Timur
2017,Mitsubishi Pajero Sport,82500,Automatic,405000000,Jawa Timur
2018,Honda CR-V,42500,Automatic,410000000,Jawa Timur
2011,Honda Accord,62500,Automatic,160000000,Jawa Timur
2018,Toyota Kijang Innova,62500,Manual,310000000,Jawa Timur
2013,Mazda Biante,102500,Automatic,155000000,Jawa Timur
2018,Suzuki Ignis,32500,Manual,110000000,Jawa Timur
2013,Nissan Grand Livina,92500,Automatic,105000000,Jawa Timur
2016,Suzuki APV,72500,Manual,120000000,Jawa Timur
2003,Honda City,75000,Automatic,75000000,Jawa Timur
2012,Suzuki Swift,32500,Manual,105000000,Jawa Timur
2013,Toyota Fortuner,102500,Automatic,253000000,Jawa Timur
2003,Honda Stream,129000,Automatic,85000000,Jawa Timur
2013,Isuzu Panther,102500,Manual,170000000,Jawa Timur
2017,Daihatsu Sirion,42500,Automatic,115000000,Jawa Timur
2013,Nissan Grand Livina,82500,Automatic,123250000,Jawa Timur
2010,Honda Freed,102500,Automatic,123000000,Jawa Timur
2019,Honda HR-V,32500,Automatic,275000000,Jawa Timur
2019,Toyota Camry,2500,Automatic,560000000,Jawa Timur
2018,Toyota Kijang Innova,32500,Automatic,240000000,Jawa Timur
2016,BMW 330i,27500,Automatic,550000000,Jawa Timur
2017,Toyota Avanza,62500,Manual,115000000,Jawa Timur
2013,Chevrolet Aveo,92500,Automatic,93000000,Jawa Timur
2009,Nissan Serena,102500,Automatic,84000000,Jawa Timur
2016,Honda CR-V,32500,Manual,240000000,Jawa Timur
2013,Nissan Grand Livina,82500,Automatic,123250000,Jawa Timur
2016,Honda CR-V,102500,Automatic,245000000,Jawa Timur
2015,Honda CR-V,72500,Manual,230000000,Jawa Timur
2012,KIA Picanto,102500,Manual,79000000,Jawa Timur
2016,Toyota Etios Valco,52500,Manual,110000000,Jawa Timur
2008,Mercedes-Benz S300 L,67500,Automatic,275000000,DKI Jakarta
2013,Nissan Grand Livina,82500,Automatic,123250000,Jawa Timur
2013,Toyota Camry,82500,Automatic,195000000,Jawa Timur
2012,Jeep Compass,92500,Automatic,240000000,Jawa Timur
2013,Daihatsu Terios,87500,Automatic,127000000,DKI Jakarta
2018,Mercedes-Benz C200,7000,Automatic,620000000,DKI Jakarta
2018,Toyota Avanza,52500,Automatic,167000000,DKI Jakarta
2000,Jeep Grand Cherokee,77500,Automatic,138000000,Jawa Timur
2013,Hyundai H-1,77500,Automatic,205000000,Jawa Barat
2019,Toyota Calya,17500,Automatic,133000000,DKI Jakarta
2018,Toyota Rush,27500,Automatic,220000000,Jawa Barat
2015,Honda Brio,27500,Manual,100000000,DKI Jakarta
2016,Toyota Kijang Innova,52500,Automatic,297000000,DKI Jakarta
2011,Mercedes-Benz SLK200,22500,Automatic,545000000,Jawa Timur
2002,Mercedes-Benz S320,17500,Automatic,195000000,Jawa Timur
2010,Mercedes-Benz E300,52500,Automatic,278000000,Jawa Timur
2011,Mercedes-Benz E300,67500,Automatic,308000000,Jawa Timur
2018,Suzuki Baleno,17500,Automatic,185000000,DKI Jakarta
2018,Mercedes-Benz E250,12500,Automatic,848000000,Jawa Timur
2010,Mercedes-Benz E250,77500,Automatic,288000000,Jawa Timur
2017,Toyota Calya,37500,Manual,110000000,DKI Jakarta
1997,Mercedes-Benz E230,87500,Automatic,89000000,Jawa Timur
2016,Mercedes-Benz C250,32500,Automatic,648000000,Jawa Timur
2019,Honda HR-V,37500,Automatic,295000000,DKI Jakarta
2012,Mercedes-Benz C250,32500,Automatic,308000000,Jawa Timur
2014,Volkswagen Tiguan,97500,Automatic,220000000,Jawa Timur
2013,Mercedes-Benz C200,62500,Automatic,298000000,Jawa Timur
1997,Mercedes-Benz C200,102500,Manual,70000000,Jawa Timur
2017,Honda Brio,32500,Automatic,134000000,DKI Jakarta
1995,Mercedes-Benz C180,102500,Manual,49000000,Jawa Timur
2017,Honda CR-V,57500,Automatic,333000000,DKI Jakarta
2014,Volkswagen Touran,47500,Automatic,195000000,Jawa Timur
2011,Lexus LX570,38607,Automatic,945000000,DKI Jakarta
2017,Honda HR-V,62500,Automatic,220000000,DKI Jakarta
2018,Honda Mobilio,17500,Automatic,194000000,DKI Jakarta
2018,Mitsubishi Xpander,17500,Automatic,223000000,DKI Jakarta
2016,Honda Brio,22500,Automatic,131000000,DKI Jakarta
2007,Toyota Yaris,87500,Manual,94000000,Jawa Timur
2013,Volkswagen Tiguan,52500,Automatic,188000000,Jawa Timur
2017,Honda City,27500,Automatic,259000000,DKI Jakarta
2015,Honda Mobilio,71000,Automatic,133000000,Jawa Timur
2014,Honda City,37500,Automatic,180000000,DKI Jakarta
2014,Volkswagen Golf,77500,Automatic,265000000,Jawa Timur
1979,Volkswagen Kombi,152500,Manual,178000000,Jawa Timur
2011,Nissan Elgrand,45000,Automatic,275000000,Jawa Timur
1999,Volkswagen Caravelle,82500,Automatic,98000000,Jawa Timur
2012,Volkswagen Beetle,12500,Automatic,495000000,Jawa Timur
2008,Honda Accord,56000,Automatic,135000000,Jawa Timur
2015,Toyota Yaris,14500,Automatic,160000000,Jawa Timur
2017,Honda Accord,27500,Automatic,425000000,Jawa Barat
2010,Hyundai H-1,61500,Automatic,130000000,Jawa Timur
2020,Toyota Yaris,7500,Automatic,255000000,Jawa Timur
2010,Suzuki SX4,97500,Manual,99000000,Jawa Timur
2009,Daihatsu Terios,97500,Automatic,109000000,Jawa Timur
2019,Honda Mobilio,22500,Automatic,198000000,Jawa Timur
2018,Toyota Hiace,7500,Manual,355000000,Jawa Barat
2013,Nissan Livina X-Gear,77500,Automatic,118500000,Jawa Barat
2020,Honda Brio,17500,Automatic,180000000,Jawa Timur
2017,Daihatsu Luxio,62500,Manual,140000000,Jawa Timur
2016,Honda CR-V,62500,Automatic,250000005,Jawa Timur
2014,Suzuki Ertiga,82500,Automatic,122000005,Jawa Timur
2018,Toyota Kijang Innova,62500,Automatic,245000005,Jawa Timur
2020,Honda Mobilio,2500,Manual,182500000,Jawa Barat
2016,Toyota Kijang Innova,92500,Manual,210000005,Jawa Timur
2017,Toyota Calya,32500,Automatic,110000000,Jawa Timur
2018,Mitsubishi Xpander,42500,Automatic,200000005,Jawa Timur
2017,Toyota Calya,32500,Automatic,110000000,Jawa Timur
2017,Toyota Calya,32500,Automatic,110000000,Jawa Timur
2017,Toyota Calya,32500,Automatic,110000000,Jawa Timur
2012,Honda Freed,72500,Automatic,140000005,Jawa Timur
2012,Honda Jazz,72500,Automatic,140000005,Jawa Timur
2017,Toyota Calya,32500,Automatic,110000000,Jawa Timur
2009,Nissan Serena,92500,Automatic,80000005,Jawa Timur
2017,Toyota Avanza,72500,Manual,120000005,Jawa Timur
2018,Suzuki Ignis,62500,Manual,110000005,Jawa Timur
2018,Toyota Rush,37500,Automatic,226000000,DKI Jakarta
2013,Nissan Grand Livina,82500,Automatic,106000005,Jawa Timur
2012,KIA Picanto,67500,Manual,85000888,Jawa Timur
2018,Toyota Kijang Innova,67500,Automatic,260000888,Jawa Timur
2016,Daihatsu Gran Max,67500,Manual,105000888,Jawa Timur
2016,Honda CR-V,102500,Automatic,270000888,Jawa Timur
2016,Daihatsu Terios,12500,Manual,167500000,DKI Jakarta
2013,Toyota Kijang Innova,132500,Manual,210000000,Jawa Timur
2019,Toyota Sienta,22500,Automatic,227000000,DKI Jakarta
2018,Daihatsu Terios,22500,Manual,197000000,DKI Jakarta
2016,Honda CR-V,47500,Automatic,328500000,DKI Jakarta
2017,Toyota Avanza,52500,Manual,145000000,Jawa Timur
2018,Honda Jazz,32500,Automatic,230000000,Jawa Timur
2015,Honda CR-V,122500,Manual,250000888,Jawa Timur
2013,Toyota Agya,57500,Automatic,85000000,Jawa Timur
2011,Nissan March,127500,Automatic,90000000,Jawa Timur
2012,Honda Jazz,122500,Automatic,145000888,Jawa Timur
2016,Suzuki APV,122500,Manual,115000888,Jawa Timur
2010,Honda Freed,122500,Automatic,135000888,Jawa Timur
2017,Toyota Calya,32500,Automatic,110000000,Jawa Timur
2018,Mitsubishi Xpander,47500,Automatic,215000888,Jawa Timur
2017,Toyota Avanza,67500,Manual,120000888,Jawa Timur
2009,Nissan Serena,122500,Automatic,85000888,Jawa Timur
2014,Honda Mobilio,122500,Automatic,150000888,Jawa Timur
2013,Toyota Camry,67500,Automatic,210000888,Jawa Timur
2019,Toyota Camry,47500,Automatic,590000888,Jawa Timur
2018,Suzuki Ignis,12500,Manual,135000000,Kalimantan Barat
2019,Toyota Rush,20500,Automatic,236000000,Jawa Timur
2016,Honda Brio,47500,Automatic,103000000,DKI Jakarta
2008,Honda Civic,107500,Automatic,110000000,DKI Jakarta
2018,Daihatsu Terios,14500,Manual,194000000,Jawa Timur
2012,Daihatsu Gran Max,102500,Manual,69000000,Jawa Timur
2016,Mercedes-Benz C250,42500,Automatic,620000000,Banten
2020,BMW 530i,7500,Automatic,1145000000,Yogyakarta
2016,Toyota Etios Valco,25000,Manual,110000001,Jawa Timur
2013,Toyota Fortuner,50000,Automatic,255000001,Jawa Timur
2018,Toyota Kijang Innova,15000,Automatic,245000001,Jawa Timur
2019,Toyota Camry,500,Automatic,569000001,Jawa Timur
2018,Toyota Innova Venturer,40000,Automatic,380000001,Jawa Timur
2018,Toyota Kijang Innova,30000,Manual,318000001,Jawa Timur
2014,Toyota Kijang Innova,70000,Manual,198000001,Jawa Timur
2018,Toyota Kijang Innova,25000,Manual,278000001,Jawa Timur
2013,Toyota Camry,40000,Automatic,195000001,Jawa Timur
2016,Toyota Kijang Innova,45000,Manual,209000001,Jawa Timur
2017,Toyota Avanza,30000,Automatic,117000001,Jawa Timur
2012,Nissan Grand Livina,50000,Automatic,99000001,Jawa Timur
2013,Nissan Grand Livina,45000,Automatic,107000001,Jawa Timur
2017,Mitsubishi Pajero Sport,40000,Automatic,409000001,Jawa Timur
2018,Suzuki Ignis,15000,Manual,113000001,Jawa Timur
2016,Daihatsu Gran Max,35000,Manual,92000001,Jawa Timur
2013,Mazda Biante,50000,Automatic,155000001,Jawa Timur
2015,Mitsubishi Pajero Sport,50000,Automatic,255000001,Jawa Timur
2016,Suzuki APV,30000,Manual,118000001,Jawa Timur
2013,Isuzu Panther,50000,Manual,175000001,Jawa Timur
2014,Suzuki Ertiga,50000,Automatic,118000001,Jawa Timur
2015,Mazda 2,25000,Automatic,175000001,Jawa Timur
2017,Daihatsu Sirion,20000,Automatic,115000001,Jawa Timur
2012,KIA Picanto,40000,Manual,78000001,Jawa Timur
2016,Daihatsu Gran Max,50000,Manual,102000001,Jawa Timur
2018,Mitsubishi Xpander,20000,Automatic,198000001,Jawa Timur
2016,Daihatsu Gran Max,50000,Manual,102000001,Jawa Timur
2014,Nissan Serena,50000,Automatic,168000001,Jawa Timur
2013,Chevrolet Aveo,45000,Automatic,90000001,Jawa Timur
2019,Toyota Kijang Innova,20000,Automatic,305000000,DKI Jakarta
2010,Toyota Alphard,35000,Automatic,235000000,DKI Jakarta
2016,Daihatsu Sirion,28557,Manual,108000000,Jawa Barat
2010,Honda Accord,2500,Automatic,105000000,Banten
2007,Toyota Yaris,87500,Manual,94000000,Jawa Timur
2015,Honda Mobilio,71000,Automatic,133000000,Jawa Timur
2011,Nissan Elgrand,45000,Automatic,275000000,Jawa Timur
2015,Toyota Vellfire,30000,Automatic,495000000,DKI Jakarta
2008,Honda Accord,56000,Automatic,135000000,Jawa Timur
2015,Toyota Yaris,14500,Automatic,160000000,Jawa Timur
2010,Hyundai H-1,61500,Automatic,130000000,Jawa Timur
2018,Suzuki APV,27500,Manual,119000000,Jawa Timur
2015,Toyota Yaris,14500,Automatic,160000000,Jawa Timur
2003,Honda City,75000,Automatic,75000000,Jawa Timur
2010,Hyundai H-1,61500,Automatic,130000000,Jawa Timur
2018,Mitsubishi Pajero Sport,19500,Automatic,483000000,Jawa Barat
2003,Honda Stream,129000,Automatic,85000000,Jawa Timur
2011,Nissan Elgrand,45000,Automatic,275000000,Jawa Timur
2015,Honda Mobilio,71000,Automatic,133000000,Jawa Timur
2011,Honda Accord,30000,Automatic,165000001,Jawa Timur
2006,Honda CR-V,50000,Automatic,90000001,Jawa Timur
2016,Honda CR-V,15000,Manual,240000001,Jawa Timur
2018,Honda CR-V,20000,Automatic,418000001,Jawa Timur
2014,Honda Civic,30000,Automatic,185000001,Jawa Timur
2018,Honda HR-V,15000,Automatic,275000001,Jawa Timur
2010,Honda Freed,50000,Automatic,123000001,Jawa Timur
2019,Honda HR-V,15000,Automatic,278000001,Jawa Timur
2015,Honda CR-V,30000,Manual,235000001,Jawa Timur
2016,Honda CR-V,45000,Automatic,249000001,Jawa Timur
2012,Honda Jazz,50000,Automatic,135000001,Jawa Timur
2014,Honda Mobilio,50000,Automatic,138000001,Jawa Timur
2012,Honda Freed,50000,Automatic,135000001,Jawa Timur
2018,Toyota Kijang Innova,25000,Manual,275000001,Jawa Timur
2014,Toyota Kijang Innova,70000,Manual,198000001,Jawa Timur
2018,Toyota Kijang Innova,30000,Manual,315000001,Jawa Timur
2016,Toyota Etios Valco,25000,Manual,109000001,Jawa Timur
2013,Toyota Fortuner,50000,Automatic,255000001,Jawa Timur
2008,Honda Accord,56000,Automatic,135000000,Jawa Timur
2018,Toyota Kijang Innova,15000,Automatic,245000001,Jawa Timur
2019,Toyota Camry,500,Automatic,569000001,Jawa Timur
2007,Toyota Yaris,87500,Manual,94000000,Jawa Timur
2018,Toyota Innova Venturer,45000,Automatic,380000001,Jawa Timur
2013,Toyota Camry,40000,Automatic,195000001,Jawa Timur
2016,Toyota Kijang Innova,45000,Manual,209000001,Jawa Timur
2017,Toyota Avanza,30000,Manual,117000001,Jawa Timur
2012,Nissan Grand Livina,50000,Automatic,98000001,Jawa Timur
2006,Toyota Avanza,75000,Manual,90000000,Jawa Timur
2013,Nissan Grand Livina,45000,Automatic,107000001,Jawa Timur
2016,Daihatsu Gran Max,40000,Manual,102000001,Jawa Timur
2013,Chevrolet Aveo,45000,Automatic,90000001,Jawa Timur
2014,Nissan Serena,45000,Automatic,168000001,Jawa Timur
2017,Mitsubishi Pajero Sport,40000,Automatic,409000001,Jawa Timur
2018,Suzuki Ignis,15000,Manual,115000001,Jawa Timur
2016,Daihatsu Gran Max,35000,Manual,92000001,Jawa Timur
2010,Toyota Vellfire,17000,Automatic,325000000,Jawa Timur
2013,Mazda Biante,55000,Automatic,155000001,Jawa Timur
2015,Mitsubishi Pajero Sport,50000,Automatic,255000001,Jawa Timur
2016,Suzuki APV,25000,Manual,115000001,Jawa Timur
2013,Isuzu Panther,50000,Manual,175000001,Jawa Timur
2014,Suzuki Swift,40000,Manual,127000001,Jawa Timur
2018,Mitsubishi Xpander,20000,Automatic,198000001,Jawa Timur
2014,Suzuki Ertiga,50000,Automatic,118000001,Jawa Timur
2015,Mazda 2,25000,Automatic,175000001,Jawa Timur
2017,Daihatsu Sirion,20000,Automatic,115000001,Jawa Timur
2016,Daihatsu Gran Max,40000,Manual,102000001,Jawa Timur
2012,KIA Picanto,40000,Manual,78000001,Jawa Timur
2012,Honda Freed,67500,Automatic,145000888,Jawa Timur
2018,Mitsubishi Xpander,47500,Automatic,215000888,Jawa Timur
2018,Suzuki APV,27500,Manual,119000000,Jawa Timur
2015,Toyota Yaris,14500,Automatic,160000000,Jawa Timur
2013,Toyota Vellfire,39500,Automatic,400000000,DKI Jakarta
2018,Honda CR-V,52500,Automatic,405000000,Banten
2003,Honda City,75000,Automatic,75000000,Jawa Timur
2012,Toyota Avanza,67500,Manual,132500000,Jawa Timur
2010,Hyundai H-1,61500,Automatic,130000000,Jawa Timur
2003,Honda Stream,129000,Automatic,85000000,Jawa Timur
2015,Honda Mobilio,71000,Automatic,133000000,Jawa Timur
2011,Nissan Elgrand,45000,Automatic,275000000,Jawa Timur
2016,Daihatsu Gran Max,67500,Manual,105000888,Jawa Timur
2016,Toyota Kijang Innova,97500,Manual,225000888,Jawa Timur
2013,Toyota Camry,97500,Automatic,205000888,Jawa Timur
2012,Honda Jazz,67500,Automatic,145000888,Jawa Timur
2009,Nissan Serena,137500,Automatic,85000888,Jawa Timur
2017,Toyota Avanza,62500,Manual,120000888,Jawa Timur
2014,Honda Mobilio,122500,Automatic,150000888,Jawa Timur
2010,Honda Freed,122500,Automatic,135000888,Jawa Timur
2018,Honda CR-V,12500,Automatic,415000000,DKI Jakarta
2009,Toyota Vios,60000,Automatic,114000000,Jawa Barat
2017,Daihatsu Luxio,62500,Manual,140000000,Jawa Timur
2014,Mercedes-Benz C200,42500,Automatic,302250000,Jawa Timur
2021,Mitsubishi Xpander,2000,Automatic,268000000,DKI Jakarta
2017,Toyota Sienta,25000,Automatic,168000000,DKI Jakarta
2013,Toyota Agya,57500,Automatic,85000000,Jawa Timur
2020,Toyota Yaris,3500,Automatic,213000000,DKI Jakarta
2015,Mercedes-Benz E250,23838,Automatic,510000000,Jawa Barat
2016,Honda Brio,78860,Manual,113000000,Jawa Barat
2015,Toyota Kijang Innova,17500,Manual,208000000,Jawa Timur
1984,Suzuki Jimny,102500,Manual,150000000,Jawa Timur
2019,Isuzu Elf,62500,Manual,365000000,Jawa Timur
2017,Toyota Calya,15890,Automatic,102500000,Jawa Barat
2013,Hyundai H-1,82500,Manual,178000000,Jawa Timur
2004,Mitsubishi Galant,152500,Manual,93000000,Jawa Timur
2018,Daihatsu Xenia,27500,Manual,140000000,Jawa Timur
2021,Toyota Fortuner,2500,Automatic,560000000,Jawa Timur
2019,Honda HR-V,37500,Automatic,289500000,Jawa Timur
2016,Nissan Grand Livina,52500,Manual,135000000,Jawa Timur
2008,Nissan Grand Livina,152500,Manual,89000000,Jawa Timur
2003,Isuzu Panther,50000,Manual,85000000,Jawa Barat
