year,name,mileage,transmission,price,city
2020,Mazda CX-9,3500,Automatic,635000000,DKI Jakarta
2015,Toyota Avanza,45500,Automatic,117000000,DKI Jakarta
2018,Honda Brio,52500,Manual,127000555,Jawa Timur
2017,Toyota Yaris,7500,Automatic,182500000,Jawa Timur
2016,Nissan X-Trail,47500,Automatic,245000000,Jawa Barat
2013,Honda Freed,132500,Automatic,145000000,Jawa Timur
2015,Toyota Kijang Innova,92500,Automatic,185000000,Jawa Timur
2010,Mitsubishi Pajero Sport,47500,Automatic,208000000,DKI Jakarta
2019,Toyota Calya,15000,Automatic,121000000,DKI Jakarta
2018,Mitsubishi Xpander,37500,Automatic,225000000,Jawa Timur
2014,Mitsubishi Outlander Sport,92500,Automatic,195000000,Jawa Timur
2019,Toyota Rush,62500,Automatic,200000777,Jawa Timur
2011,Toyota Rush,142500,Automatic,110000000,Jawa Barat
2017,Daihatsu Sigra,72500,Manual,86000000,DKI Jakarta
2017,Suzuki Baleno,15000,Manual,149000000,DKI Jakarta
2019,Nissan Livina,10000,Automatic,219000000,DKI Jakarta
2016,Toyota Alphard,34000,Automatic,750000000,DKI Jakarta
2017,Mercedes-Benz E250,18000,Automatic,695000000,DKI Jakarta
2015,Mitsubishi Pajero Sport,182500,Automatic,268000555,Jawa Timur
2015,Honda Freed,37500,Automatic,165000000,DKI Jakarta
2015,Honda Freed,92500,Automatic,175000000,Jawa Timur
2016,Daihatsu Sigra,97500,Automatic,100000000,Jawa Barat
2018,Honda Brio,37500,Automatic,135000000,DKI Jakarta
2019,Honda Jazz,22500,Manual,219000000,Jawa Timur
2016,Toyota Rush,28000,Automatic,169000000,DKI Jakarta
2019,Toyota Rush,62500,Automatic,200000777,Jawa Timur
2016,Honda BR-V,32000,Automatic,169000000,DKI Jakarta
2020,Honda Brio,12500,Automatic,168000000,Jawa Timur
2015,Toyota Kijang Innova,97500,Automatic,164000000,Jawa Barat
2012,Mitsubishi Outlander Sport,92500,Automatic,167000000,Jawa Timur
2017,Honda City,17500,Automatic,209000000,DKI Jakarta
2019,Toyota Yaris,8000,Automatic,198000000,DKI Jakarta
2020,Toyota Innova Venturer,17500,Automatic,363000000,Jawa Barat
2016,Toyota Camry,34500,Automatic,302000000,Banten
2017,Toyota Avanza,92500,Manual,110000000,Jawa Barat
2019,Daihatsu Sigra,52500,Manual,88000000,DKI Jakarta
2015,Mitsubishi Outlander Sport,77500,Automatic,190000000,DKI Jakarta
2010,Toyota Camry,102500,Automatic,118000000,DKI Jakarta
2012,BMW 335i,47500,Automatic,635000000,DKI Jakarta
2019,Toyota Calya,15000,Automatic,119000000,DKI Jakarta
2016,Mercedes-Benz E250,11000,Automatic,675000000,DKI Jakarta
2015,Toyota Agya,62500,Automatic,90000000,Jawa Timur
2017,Honda CR-V,19500,Automatic,385000000,DKI Jakarta
2018,Mazda 2,15500,Automatic,205000000,DKI Jakarta
2019,Hyundai Santa Fe,25000,Automatic,470000000,Banten
2017,Mitsubishi Pajero Sport,32000,Automatic,395000000,Banten
2017,Mazda Biante,31000,Automatic,255000000,Banten
2020,Mazda CX-3,1800,Automatic,310000000,DKI Jakarta
2011,BMW 335i,37500,Automatic,725000000,DKI Jakarta
2013,Nissan Serena,102500,Automatic,160000000,Jawa Timur
2013,Nissan X-Trail,62500,Automatic,163000000,Jawa Timur
2016,BMW X3,42500,Automatic,590000000,DKI Jakarta
2018,Mitsubishi Xpander,27500,Automatic,200000000,Jawa Barat
2018,Toyota Kijang Innova,10000,Automatic,290000000,DKI Jakarta
2015,Toyota Avanza,45500,Automatic,115000000,DKI Jakarta
2016,Toyota Yaris,52500,Automatic,175000000,Jawa Timur
2018,Daihatsu Terios,25500,Automatic,177000000,DKI Jakarta
2020,Suzuki XL7,12500,Automatic,214000000,Jawa Timur
2012,Nissan March,82500,Automatic,93000000,Jawa Timur
2015,BMW 330i,72500,Automatic,555000000,DKI Jakarta
2020,Toyota Kijang Innova,27500,Automatic,385000888,Jawa Timur
2010,Honda CR-V,92500,Automatic,132000000,Jawa Timur
2016,Honda Brio,7500,Manual,110000000,DKI Jakarta
2020,Mercedes-Benz AMG GT,700,Automatic,2990000000,DKI Jakarta
2012,Suzuki SX4,62500,Manual,115000000,Jawa Timur
2015,Honda City,67500,Automatic,188000000,Jawa Timur
2017,Mercedes-Benz E300,16000,Automatic,825000000,DKI Jakarta
2013,Dodge Journey,30000,Automatic,179000000,DKI Jakarta
2013,Toyota Corolla Altis,32500,Automatic,182000000,Jawa Timur
2008,Proton Neo,26000,Automatic,95000000,DKI Jakarta
2014,Toyota Avanza,34000,Manual,107000000,DKI Jakarta
2019,Suzuki Baleno,4000,Automatic,172000000,DKI Jakarta
2014,Volkswagen Tiguan,82500,Automatic,205000000,Banten
2006,Honda City,82500,Automatic,82000000,Jawa Tengah
2019,Toyota Agya,47500,Automatic,138000000,Jawa Timur
2012,KIA Picanto,137500,Manual,80000555,Jawa Timur
2019,Daihatsu Xenia,32500,Manual,155000000,DKI Jakarta
2015,Nissan X-Trail,42500,Automatic,225000000,Jawa Timur
2016,Honda HR-V,30000,Automatic,199000000,DKI Jakarta
2012,Toyota Alphard,25000,Automatic,360000000,DKI Jakarta
2016,Suzuki SX4 S-Cross,32500,Automatic,165000000,Jawa Timur
2018,Mitsubishi Pajero Sport,32500,Automatic,450000888,Jawa Timur
2020,Honda Brio,12500,Automatic,158000000,Jawa Timur
2015,Toyota Yaris,23500,Automatic,158000000,DKI Jakarta
2014,Honda Brio,33500,Manual,93000000,DKI Jakarta
